current_date,next_date,number,freq_7days,freq_prev_day,is_cau_ngang,is_cau_cheo,freq_3days,freq_14days,freq_30days,freq_ratio_7days,freq_ratio_30days,avg_gap,min_gap,max_gap,last_gap,consecutive_count,days_since_last,cau_ngang_strength,cau_cheo_strength,in_any_cau,is_lo_roi_ung_vien,lo_roi_ty_le,days_since_roi_db,days_since_roi_nhieu
4-10-2025,05-10-2025,00,1,0,0,1,0,1,7,0.14285714285714285,0.2413793103448276,4.0,1,11,11,3,4,0,43,1,0,0.0,0,0
4-10-2025,05-10-2025,01,1,0,1,1,0,2,10,0.14285714285714285,0.3448275862068966,2.7777777777777777,1,8,8,3,3,4,30,1,0,0.0,0,0
4-10-2025,05-10-2025,02,2,0,0,1,0,3,7,0.2857142857142857,0.2413793103448276,3.0,1,5,2,1,4,0,43,1,0,0.0,0,0
4-10-2025,05-10-2025,03,2,0,0,1,1,5,8,0.2857142857142857,0.27586206896551724,3.7142857142857144,1,8,4,1,2,0,28,1,0,0.0,0,0
4-10-2025,05-10-2025,04,4,1,1,1,2,6,7,0.5714285714285714,0.2413793103448276,3.1666666666666665,1,8,1,2,0,2,53,1,1,50.0,0,0
4-10-2025,05-10-2025,05,2,1,1,1,1,2,8,0.2857142857142857,0.27586206896551724,3.7142857142857144,1,10,5,2,0,2,36,1,1,0.0,0,0
4-10-2025,05-10-2025,06,3,0,0,1,1,4,5,0.42857142857142855,0.1724137931034483,6.5,2,18,2,0,1,0,27,1,0,0.0,0,0
4-10-2025,05-10-2025,07,2,0,0,1,0,2,3,0.2857142857142857,0.10344827586206896,7.5,1,14,1,1,3,0,45,1,0,0.0,0,0
4-10-2025,05-10-2025,08,2,0,1,1,0,3,5,0.2857142857142857,0.1724137931034483,5.75,2,10,2,0,3,2,26,1,0,0.0,0,0
4-10-2025,05-10-2025,09,2,0,1,1,2,6,10,0.2857142857142857,0.3448275862068966,2.7777777777777777,1,7,1,5,1,2,12,1,0,0.0,0,0
4-10-2025,05-10-2025,10,2,1,0,1,1,3,4,0.2857142857142857,0.13793103448275862,7.666666666666667,5,12,6,0,0,0,21,1,0,0.0,0,0
4-10-2025,05-10-2025,11,2,0,0,1,1,3,9,0.2857142857142857,0.3103448275862069,3.125,1,7,1,2,2,0,13,1,0,0.0,0,0
4-10-2025,05-10-2025,12,2,1,0,1,1,4,8,0.2857142857142857,0.27586206896551724,3.857142857142857,3,7,4,0,0,0,16,1,0,0.0,0,0
4-10-2025,05-10-2025,13,1,0,0,1,1,2,8,0.14285714285714285,0.27586206896551724,3.857142857142857,1,11,11,2,1,0,14,1,0,0.0,0,0
4-10-2025,05-10-2025,14,1,1,0,1,1,4,9,0.14285714285714285,0.3103448275862069,3.0,1,10,10,2,0,0,25,1,0,0.0,0,0
